Model,Mean Accuracy,Std Dev Accuracy
GP,0.7903999999999999,0.012774975538137062
GP_Embed,0.7812,0.015140047973225825
Static,0.7748000000000002,0.01867618804788602
DT,0.6732,0.023933240482642518
DT_Embed,0.7714000000000001,0.015246742533890223
LR,0.6457999999999999,0.014464475539458016
LR_Embed,0.7888,0.016649956535426117
RF,0.7066,0.011931382767175076
RF_Embed,0.7984000000000002,0.01818732930829648
SVM,0.6386,0.017070750607861097
SVM_Embed,0.6414,0.019424347174561502
NN,0.6063999999999999,0.010210417796493322
NN_Embed,0.7428000000000001,0.06287966787109286
