GP Model,Other Model,Statistic,P-value,Corrected P-value,Significant
GP,Static,0.0,1.9073486328125e-06,4.1961669921875e-05,Yes
GP,DT,0.0,1.9073486328125e-06,4.1961669921875e-05,Yes
GP,DT_Embed,15.0,0.0002613067626953125,0.005748748779296875,Yes
GP,LR,0.0,1.9073486328125e-06,4.1961669921875e-05,Yes
GP,LR_Embed,81.0,0.38837623596191406,1.0,No
GP,RF,0.0,1.9073486328125e-06,4.1961669921875e-05,Yes
GP,RF_Embed,46.0,0.026641845703125,0.58612060546875,No
GP,SVM,0.0,1.9073486328125e-06,4.1961669921875e-05,Yes
GP,SVM_Embed,0.0,1.9073486328125e-06,4.1961669921875e-05,Yes
GP,NN,0.0,1.9073486328125e-06,4.1961669921875e-05,Yes
GP,NN_Embed,26.0,0.0019855499267578125,0.043682098388671875,Yes
GP_Embed,Static,35.5,0.009209828101635552,0.20261621823598214,No
GP_Embed,DT,0.0,1.9073486328125e-06,4.1961669921875e-05,Yes
GP_Embed,DT_Embed,33.5,0.00729922912100788,0.16058304066217335,No
GP_Embed,LR,0.0,1.9073486328125e-06,4.1961669921875e-05,Yes
GP_Embed,LR_Embed,41.0,0.01531219482421875,0.3368682861328125,No
GP_Embed,RF,0.0,1.9073486328125e-06,4.1961669921875e-05,Yes
GP_Embed,RF_Embed,3.0,9.5367431640625e-06,0.000209808349609375,Yes
GP_Embed,SVM,0.0,1.9073486328125e-06,4.1961669921875e-05,Yes
GP_Embed,SVM_Embed,0.0,1.9073486328125e-06,4.1961669921875e-05,Yes
GP_Embed,NN,0.0,1.9073486328125e-06,4.1961669921875e-05,Yes
GP_Embed,NN_Embed,43.0,0.01923370361328125,0.4231414794921875,No
